X1,DateTime_Serial,Pressure,Temperature,Conductivity,Date,Salinity,Site
69,42961.38,1501.99,19.08,34.03,2017-08-14T05:07:11Z,21.4252649339645,1
70,42961.42,1511.13,18.83,27.66,2017-08-14T06:04:47Z,19.3810403967941,1
71,42961.46,1070.308,12.39,21.74,2017-08-14T07:02:24Z,8.27931934190739,1
72,42961.5,1166.908,26.7,29.87,2017-08-14T08:00:00Z,17.3542474311624,1
73,42961.54,1533.16,28.05,19.26,2017-08-14T08:57:36Z,13.7878353559989,1
74,42961.58,1485.82,15.4,21.18,2017-08-14T09:55:12Z,18.9764836972851,1
75,42961.63,1097.083,20.28,29.66,2017-08-14T11:07:11Z,13.5072009957046,1
76,42961.67,1537.27,26.16,38.18,2017-08-14T12:04:47Z,15.5935688644929,1
77,42961.71,1091.133,25.95,40.372,2017-08-14T13:02:24Z,20.5843671417123,1
78,42961.75,1504.14,12.91,21.056,2017-08-14T14:00:00Z,24.5997996592934,1
79,42961.79,1169.592,15.63,8.93,2017-08-14T14:57:36Z,23.1027461199272,1
80,42961.83,1523.76,19.85,14.29,2017-08-14T15:55:12Z,9.53860465640822,1
81,42961.88,1514.07,28.167,21.67,2017-08-14T17:07:11Z,20.7915706875766,1
82,42961.92,1495.6,13.36,33.69,2017-08-14T18:04:47Z,16.3861720245106,1
83,42961.96,1472.12,22.75,24.248,2017-08-14T19:02:24Z,24.4314093783349,1
84,42962,1504.19,23.26,14.15,2017-08-14T20:00:00Z,25.5800044574463,1
85,42962.04,1508.18,24.84,30.35,2017-08-14T20:57:36Z,17.1915519246329,1
86,42962.08,1478.7,14.54,31.11,2017-08-14T21:55:12Z,10.2646616307543,1
87,42962.13,1112.425,20.53,15.076,2017-08-14T23:07:11Z,5.00703688740445,1
88,42962.17,1479.67,28.11,26.79,2017-08-15T00:04:47Z,19.3649694924836,1
89,42962.21,1500.79,26.75,23.97,2017-08-15T01:02:24Z,22.7277694771023,1
90,42962.25,1476.72,20.947,30.48,2017-08-15T02:00:00Z,19.9019392766637,1
91,42962.29,1498.96,13.49,NA,2017-08-15T02:57:36Z,23.4950811324119,1
92,42962.33,1110.792,19.73,36.9,2017-08-15T03:55:12Z,16.4354085427987,1
93,42962.38,1486.47,14.803,23.82,2017-08-15T05:07:11Z,2.34256489538665,1
94,42962.42,1511.33,18.35,19.96,2017-08-15T06:04:47Z,16.4520961374915,1
95,42962.46,1166.85,23.6,15.584,2017-08-15T07:02:24Z,13.99408383205,1
96,42962.5,1476.18,17.04,18.83,2017-08-15T08:00:00Z,18.8419576029181,1
97,42962.54,1133.192,21.88,29.83,2017-08-15T08:57:36Z,7.70058832913297,1
98,42962.58,1509.02,15.5,20.808,2017-08-15T09:55:12Z,17.5387288030253,1
99,42962.63,1486.63,16.49,29.3,2017-08-15T11:07:11Z,14.2686429389457,1
100,42962.67,1129.692,21.017,35.948,2017-08-15T12:04:47Z,15.7611964754957,1
101,42962.71,1509.43,31.97,16.1,2017-08-15T13:02:24Z,16.2261861438577,1
102,42962.75,1487.71,28.713,15.88,2017-08-15T14:00:00Z,11.3348010357882,1
103,42962.79,1164.108,17.04,22.63,2017-08-15T14:57:36Z,19.1743108557998,1
104,42962.83,1503.82,29.92,33.068,2017-08-15T15:55:12Z,15.1803386688752,1
105,42962.88,1489.75,4.7,21.09,2017-08-15T17:07:11Z,10.8635912198272,1
106,42962.92,1206.808,21.14,26.86,2017-08-15T18:04:47Z,12.1802355173811,1
107,42962.96,1493.85,21.6,34.54,2017-08-15T19:02:24Z,10.0381282687819,1
108,42963,1144.567,15.647,13.02,2017-08-15T20:00:00Z,22.6475909299789,1
109,42963.04,1534.04,10.13,15.244,2017-08-15T20:57:36Z,17.3548591234212,1
110,42963.08,1128.408,19.407,35.8,2017-08-15T21:55:12Z,18.7922027518434,1
111,42963.13,1506.7,13.217,26.87,2017-08-15T23:07:11Z,15.1400772333407,1
112,42963.17,1065.817,14.17,8.51,2017-08-16T00:04:47Z,25.0771813368347,1
113,42963.21,1515.96,18.59,16.41,2017-08-16T01:02:24Z,23.8248787185541,1
114,42963.25,1130.158,7.69,14.184,2017-08-16T02:00:00Z,17.278727188244,1
115,42963.29,1501.1,21.36,16.18,2017-08-16T02:57:36Z,15.9244147228644,1
116,42963.33,1528.45,11.84,20.31,2017-08-16T03:55:12Z,21.155693210498,1
117,42963.38,1104.725,19.607,24.968,2017-08-16T05:07:11Z,8.45307604315322,1
118,42963.42,1526.12,13.77,33.45,2017-08-16T06:04:47Z,16.4520961374915,1
119,42963.46,1461.31,26.7,31.36,2017-08-16T07:02:24Z,19.5976790460547,1
120,42963.5,1147.133,14.54,20.77,2017-08-16T08:00:00Z,15.4639435922397,1
121,42963.54,1473.49,6.733,25,2017-08-16T08:57:36Z,11.6107768869877,1
122,42963.58,1113.883,23.543,33.572,2017-08-16T09:55:12Z,5.63998265416816,1
123,42963.63,1462.12,19.28,29.19,2017-08-16T11:07:11Z,22.0023683353052,1
124,42963.67,1528.01,32.38,18.92,2017-08-16T12:04:47Z,26.0752580143332,1
125,42963.71,1109.45,21.5,24.544,2017-08-16T13:02:24Z,13.0885203038412,1
126,42963.75,1509.55,NA,24.35,2017-08-16T14:00:00Z,10.1678151328842,1
127,42963.79,1487.84,20.86,15.07,2017-08-16T14:57:36Z,17.0666867978241,1
128,42963.83,1086.525,18.98,37.32,2017-08-16T15:55:12Z,14.9632314828391,1
129,42963.88,1131.442,21.04,37.56,2017-08-16T17:07:11Z,19.686250485858,1
130,42963.92,1533.38,11.98,17.06,2017-08-16T18:04:47Z,9.94334801106631,1
131,42963.96,1529.29,14.663,32.75,2017-08-16T19:02:24Z,15.2836456746308,1
132,42964,1480.39,21.36,15.06,2017-08-16T20:00:00Z,NA,1
133,42964.04,1145.033,20.65,0.664,2017-08-16T20:57:36Z,10.0409080779684,1
134,42964.08,1506.56,21.18,29.02,2017-08-16T21:55:12Z,6.22154110722229,1
135,42964.13,1502.24,20.58,33.33,2017-08-16T23:07:11Z,23.911335413993,1
136,42964.17,1126.483,10.99,35.91,2017-08-17T00:04:47Z,18.3449956423954,1
137,42964.21,1532.43,14.17,11.92,2017-08-17T01:02:24Z,8.86177959578763,1
138,42964.25,1490.06,24.42,11.632,2017-08-17T02:00:00Z,22.5514968919695,1
139,42964.29,1497.3,NA,19.73,2017-08-17T02:57:36Z,18.0389334850535,1
140,42964.33,1490.61,12.21,24.86,2017-08-17T03:55:12Z,19.133000177464,1
141,42964.38,NA,21.65,14.82,2017-08-17T05:07:11Z,16.1523562350192,1
142,42964.42,1463.81,15.22,27.66,2017-08-17T06:04:47Z,12.2717817795027,1
143,42964.46,1133.95,14.117,32.04,2017-08-17T07:02:24Z,13.302542935399,1
144,42964.5,1534.89,25.403,37.6,2017-08-17T08:00:00Z,18.6900362774978,1
145,42964.54,1233.992,18.81,22.75,2017-08-17T08:57:36Z,19.4956258832686,1
146,42964.58,1507.75,21.07,19.576,2017-08-17T09:55:12Z,9.34752080209983,1
147,42964.63,1461.76,21.277,29.12,2017-08-17T11:07:11Z,20.9079635050523,1
148,42964.67,1172.917,13.337,31.31,2017-08-17T12:04:47Z,18.4911179335216,1
149,42964.71,1527.84,12.45,22.19,2017-08-17T13:02:24Z,11.6900397005877,1
150,42964.75,1496.42,20.12,41.17,2017-08-17T14:00:00Z,18.454869512162,1
151,42964.79,1532.48,21.55,26.388,2017-08-17T14:57:36Z,9.14556320712867,1
152,42964.83,1473.79,23.52,29.064,2017-08-17T15:55:12Z,11.8041357887509,1
153,42964.88,1186.45,22.99,2.688,2017-08-17T17:07:11Z,NA,1
154,42964.92,1488.72,19.55,22.14,2017-08-17T18:04:47Z,2.04251893774354,1
155,42964.96,1499.62,21.16,6.41,2017-08-17T19:02:24Z,8.64211256883303,1
156,42965,1507.67,22.007,45.288,2017-08-17T20:00:00Z,22.1565748710824,1
157,42965.04,1487.89,20.18,3.38,2017-08-17T20:57:36Z,6.38134155655743,1
158,42965.08,1023.583,31.023,34.28,2017-08-17T21:55:12Z,19.1513730866173,1
159,42965.13,1521.13,16.94,21.51,2017-08-17T23:07:11Z,13.0885262814836,1
160,42965.17,1502.55,28.46,15.148,2017-08-18T00:04:47Z,1.83446970153993,1
161,42965.21,1512.58,20.74,17.172,2017-08-18T01:02:24Z,17.3299202696461,1
162,42965.25,1468.67,15.72,37.764,2017-08-18T02:00:00Z,15.8054793751045,1
163,42965.29,1128.525,15.25,39.16,2017-08-18T02:57:36Z,22.3857465317845,1
164,42965.33,1156.35,24.53,15.016,2017-08-18T03:55:12Z,16.7924422923164,1
165,42965.38,1480.19,21.75,15.14,2017-08-18T05:07:11Z,21.3942711723771,1
166,42965.42,1494.39,NA,39.84,2017-08-18T06:04:47Z,1.56163673808274,1
167,42965.46,1521.61,19.68,26.64,2017-08-18T07:02:24Z,16.9093839870923,1
168,42965.5,1483.26,13.95,38.248,2017-08-18T08:00:00Z,18.1968370661407,1
169,42965.54,1472.71,25.66,24.96,2017-08-18T08:57:36Z,12.2632143332726,1
170,42965.58,NA,23.1,28.59,2017-08-18T09:55:12Z,17.7025825379629,1
171,42965.63,1106.358,17.99,0.556,2017-08-18T11:07:11Z,23.6381853120449,1
172,42965.67,1521.55,28.08,19.39,2017-08-18T12:04:47Z,17.2072046550059,1
173,42965.71,1513.13,20.59,32.14,2017-08-18T13:02:24Z,17.8139889309459,1
174,42965.75,1484.86,20.58,13.5,2017-08-18T14:00:00Z,20.3946452712578,1
175,42965.79,1478.6,14.91,33.36,2017-08-18T14:57:36Z,16.2097607516894,1
176,42965.83,1522.25,21.957,16.01,2017-08-18T15:55:12Z,14.8609730424837,1
177,42965.88,1486.11,15.31,9.03,2017-08-18T17:07:11Z,18.1289317881737,1
178,42965.92,1494.97,24.88,19.872,2017-08-18T18:04:47Z,19.4494500803732,1
179,42965.96,1199.575,27.27,15.792,2017-08-18T19:02:24Z,11.3602040610621,1
180,42966,1504.02,12.65,6.172,2017-08-18T20:00:00Z,23.0697563653135,1
181,42966.04,1474.95,29.07,19.76,2017-08-18T20:57:36Z,22.808689672193,1
182,42966.08,1502.68,31.45,20.768,2017-08-18T21:55:12Z,19.7955142205064,1
183,42966.13,1475.22,21.43,6.97,2017-08-18T23:07:11Z,23.5777570529926,1
184,42966.17,1490.8,30.097,24.26,2017-08-19T00:04:47Z,22.3504682547506,1
185,42966.21,1499.78,31.18,27.25,2017-08-19T01:02:24Z,24.9562794701275,1
186,42966.25,1476.29,20.9,24.82,2017-08-19T02:00:00Z,22.3571396999929,1
187,42966.29,1105.542,12.65,24.99,2017-08-19T02:57:36Z,17.2318253790413,1
188,42966.33,1526.07,22.71,33.25,2017-08-19T03:55:12Z,15.9178052229733,1
189,42966.38,1507.76,25.25,18.636,2017-08-19T05:07:11Z,22.4286794304295,1
190,42966.42,1504.69,20.39,20.8,2017-08-19T06:04:47Z,13.3618650893308,1
191,42966.46,1481.91,20.98,26.69,2017-08-19T07:02:24Z,15.5807414698292,1
192,42966.5,1077.717,10.44,27.53,2017-08-19T08:00:00Z,18.4484215652982,1
193,42966.54,1119.95,11.74,15.148,2017-08-19T08:57:36Z,7.65788742356599,1
194,42966.58,1528.09,31.527,17.43,2017-08-19T09:55:12Z,15.3764007863882,1
195,42966.63,1506.59,27.44,29.75,2017-08-19T11:07:11Z,20.7797906011121,1
196,42966.67,1509.47,20.02,25.83,2017-08-19T12:04:47Z,19.801996638686,1
197,42966.71,1478.75,9.2,19.12,2017-08-19T13:02:24Z,10.8341373795314,1
198,42966.75,1493.96,14.69,30.532,2017-08-19T14:00:00Z,10.1965711182197,1
199,42966.79,1173.85,12.16,32.612,2017-08-19T14:57:36Z,19.2369230059091,1
200,42966.83,1487.82,15.583,21.47,2017-08-19T15:55:12Z,5.28868176426631,1
201,42966.88,1125.608,31.08,19.296,2017-08-19T17:07:11Z,18.0775072011363,1
202,42966.92,1491.38,20.29,13.208,2017-08-19T18:04:47Z,14.7446442451835,1
203,42966.96,1152.558,16.37,30.53,2017-08-19T19:02:24Z,22.7149584106792,1
204,42967,1481.15,29.64,18.86,2017-08-19T20:00:00Z,4.06773857922943,1
205,42967.04,1470.01,8.3,22.13,2017-08-19T20:57:36Z,21.6547451695903,1
206,42967.08,1119.017,20.56,26.668,2017-08-19T21:55:12Z,15.2328913842671,1
207,42967.13,1496.56,32.15,21.92,2017-08-19T23:07:11Z,22.11827502129,1
208,42967.17,1118.258,7.713,22.148,2017-08-20T00:04:47Z,14.9276699890091,1
209,42967.21,1476.75,20.06,37.39,2017-08-20T01:02:24Z,20.0807733828487,1
210,42967.25,1512.45,20.143,20.69,2017-08-20T02:00:00Z,13.6617692119917,1
211,42967.29,1517.22,16.47,34.656,2017-08-20T02:57:36Z,18.3307548185486,1
212,42967.33,1155.358,7.02,23.09,2017-08-20T03:55:12Z,0.905026614088835,1
213,42967.38,1520.96,14.93,23.97,2017-08-20T05:07:11Z,23.6446643421388,1
214,42967.42,1485.07,27.73,26.828,2017-08-20T06:04:47Z,24.6035057696198,1
215,42967.46,1493.34,27.45,29.56,2017-08-20T07:02:24Z,26.0986529474529,1
216,42967.5,1508,24.1,28.53,2017-08-20T08:00:00Z,14.3170609062509,1
217,42967.54,1482.56,17.78,25.39,2017-08-20T08:57:36Z,21.2036707439358,1
218,42967.58,1452.02,19.11,31.376,2017-08-20T09:55:12Z,19.926354099236,1
219,42967.63,1466.05,21.05,24.43,2017-08-20T11:07:11Z,18.0304976991212,1
220,42967.67,1167.083,14.32,17,2017-08-20T12:04:47Z,17.1019822963399,1
221,42967.71,1499.83,20.48,9.11,2017-08-20T13:02:24Z,20.9557946895996,1
222,42967.75,1477.93,6.377,23.21,2017-08-20T14:00:00Z,23.3208145522099,1
223,42967.79,1485.87,22.06,37.01,2017-08-20T14:57:36Z,17.18994300167,1
224,42967.83,1112.95,30.913,12.75,2017-08-20T15:55:12Z,19.3687817054213,1
225,42967.88,1509.83,15.4,27.05,2017-08-20T17:07:11Z,11.1235250680705,1
226,42967.92,1491.68,26.11,22.29,2017-08-20T18:04:47Z,10.7640907843308,1
227,42967.96,1481.27,14.23,24.04,2017-08-20T19:02:24Z,16.0384797980312,1
228,42968,1473.93,21.79,37.44,2017-08-20T20:00:00Z,21.5608604616045,1
229,42968.04,1069.9,12.92,20.764,2017-08-20T20:57:36Z,22.4129929261503,1
230,42968.08,1486.24,13.26,6.77,2017-08-20T21:55:12Z,9.03677625047993,1
231,42968.13,1484,29.92,3.232,2017-08-20T23:07:11Z,10.6551352767096,1
232,42968.17,1100.758,13.6,25.16,2017-08-21T00:04:47Z,10.3295470921213,1
233,42968.21,1153.258,12.763,21.428,2017-08-21T01:02:24Z,18.8735757904487,1
234,42968.25,NA,20.27,33.79,2017-08-21T02:00:00Z,20.5234786923475,1
235,42968.29,1494.21,31.603,34.9,2017-08-21T02:57:36Z,6.90290486310957,1
236,42968.33,1496.91,27.27,22.168,2017-08-21T03:55:12Z,14.9573376081145,1
237,42968.38,1526.04,10.08,43.21,2017-08-21T05:07:11Z,15.4507268861777,1
238,42968.42,1496.69,31.6,8.14,2017-08-21T06:04:47Z,12.8833123069048,1
239,42968.46,1218.708,14.76,4,2017-08-21T07:02:24Z,19.4500581581287,1
240,42968.5,1132.142,27.82,31.39,2017-08-21T08:00:00Z,15.3277966879596,1
241,42968.54,1098.133,30.45,8.34,2017-08-21T08:57:36Z,14.8914716444931,1
242,42968.58,1064.475,11.38,29.39,2017-08-21T09:55:12Z,17.4567203447778,1
243,42968.63,1473.53,17.69,30.76,2017-08-21T11:07:11Z,7.64756693522701,1
244,42968.67,1464.21,11.57,22.664,2017-08-21T12:04:47Z,11.7614977697739,1
245,42968.71,1461.29,27.7,26.46,2017-08-21T13:02:24Z,19.8924151733607,1
246,42968.75,1488.46,21.27,14.352,2017-08-21T14:00:00Z,18.5185290505096,1
247,42968.79,1163.583,18.78,19.33,2017-08-21T14:57:36Z,23.7302621424489,1
248,42968.83,NA,20.46,25.24,2017-08-21T15:55:12Z,21.6911907555611,1
249,42968.88,1159.033,19.5,19.37,2017-08-21T17:07:11Z,26.5070582612549,1
250,42968.92,1154.367,21.63,18.42,2017-08-21T18:04:47Z,2.91609914346007,1
251,42968.96,1527.89,15.07,22.43,2017-08-21T19:02:24Z,19.3708668287156,1
252,42969,1097.9,11.18,12.45,2017-08-21T20:00:00Z,22.9270748211255,1
253,42969.04,1496,23.69,12.3,2017-08-21T20:57:36Z,19.2992847147876,1
254,42969.08,1498,19.45,0,2017-08-21T21:55:12Z,14.8068831379641,1
255,42969.13,1464.9,12.83,8.25,2017-08-21T23:07:11Z,16.8728798220725,1
256,42969.17,1100,19.51,15.56,2017-08-22T00:04:47Z,0.0127828938028569,1
257,42969.21,1505.08,17.77,26.84,2017-08-22T01:02:24Z,15.7893329101034,1
258,42969.25,1499.11,14.16,18.07,2017-08-22T02:00:00Z,16.2985667518165,1
259,42969.29,1507.15,30.87,NA,2017-08-22T02:57:36Z,19.2688381625884,1
260,42969.33,1092.592,14.08,34.212,2017-08-22T03:55:12Z,22.3256732288361,1
261,42969.38,1490.88,8.37,28.3,2017-08-22T05:07:11Z,8.30176834189003,1
262,42969.42,1518.77,27.53,30.94,2017-08-22T06:04:47Z,14.3106157086717,1
263,42969.46,1506.17,18.21,26.43,2017-08-22T07:02:24Z,17.4270017731672,1
264,42969.5,1452.35,18.74,35.02,2017-08-22T08:00:00Z,NA,1
265,42969.54,1484.34,19.38,35.7,2017-08-22T08:57:36Z,21.4168560191685,1
266,42969.58,1517.61,19.2,21.85,2017-08-22T09:55:12Z,5.85987693741099,1
267,42969.63,1504.84,31.823,23.64,2017-08-22T11:07:11Z,15.569522260541,1
268,42969.67,1528.01,13.71,25.59,2017-08-22T12:04:47Z,19.742033627397,1
269,42969.71,1161.367,19.38,12.576,2017-08-22T13:02:24Z,20.4397787436192,1
270,42969.75,1509.26,26.723,13.91,2017-08-22T14:00:00Z,16.4055901255171,1
271,42969.79,1475.07,15.4,30.3,2017-08-22T14:57:36Z,19.9122574119861,1
272,42969.83,1501.91,24.87,33.25,2017-08-22T15:55:12Z,0.61830083895223,1
273,42969.88,1495.35,14.067,29.26,2017-08-22T17:07:11Z,15.6187122416505,1
274,42969.92,1497.56,13.92,16.25,2017-08-22T18:04:47Z,18.4321420534886,1
275,42969.96,1482,15.49,24.48,2017-08-22T19:02:24Z,12.8098370507473,1
276,42970,1519.57,20.02,26.03,2017-08-22T20:00:00Z,26.6651033509787,1
277,42970.04,1499.9,9.29,24.94,2017-08-22T20:57:36Z,7.97201519388997,1
278,42970.08,1484.55,14.17,10.984,2017-08-22T21:55:12Z,19.0248508397457,1
279,42970.13,1479.13,10.69,26.88,2017-08-22T23:07:11Z,18.5949490182754,1
280,42970.17,1130.45,14.75,9.264,2017-08-23T00:04:47Z,13.5320822828419,1
281,42970.21,1531.44,25.12,35.68,2017-08-23T01:02:24Z,2.00378750133537,1
282,42970.25,1504.53,28.43,12.772,2017-08-23T02:00:00Z,18.6008539722143,1
283,42970.29,1480.85,30.087,21.45,2017-08-23T02:57:36Z,6.93966872488699,1
284,42970.33,1488.44,14.29,21.292,2017-08-23T03:55:12Z,13.3174250433644,1
285,42970.38,1526.51,18.08,37.384,2017-08-23T05:07:11Z,14.3524166142749,1
286,42970.42,1130.45,20.67,34.31,2017-08-23T06:04:47Z,8.77521949382413,1
287,42970.46,1506.98,16.76,38.69,2017-08-23T07:02:24Z,19.2998892565954,1
288,42970.5,1188.2,13.92,30.3,2017-08-23T08:00:00Z,22.6011255342862,1
289,42970.54,1485.16,26.23,38.444,2017-08-23T08:57:36Z,15.6751838333053,1
290,42970.58,1510.39,19.79,15.972,2017-08-23T09:55:12Z,25.1517640734151,1
291,42970.63,1494.43,11.98,19.73,2017-08-23T11:07:11Z,14.4641189135113,1
292,42970.67,1532.49,20.37,27.29,2017-08-23T12:04:47Z,18.9389198841995,1
293,42970.71,1510.48,7.31,29.31,2017-08-23T13:02:24Z,11.5234742403831,1
294,42970.75,1172.858,28.213,NA,2017-08-23T14:00:00Z,15.6962566183806,1
295,42970.79,1517.55,10.18,35.372,2017-08-23T14:57:36Z,21.2231018746724,1
296,42970.83,1485.46,19.79,40.21,2017-08-23T15:55:12Z,20.345685860024,1
297,42970.88,1511.92,29.49,40.74,2017-08-23T17:07:11Z,6.80858223687424,1
298,42970.92,1528.79,11.71,11.492,2017-08-23T18:04:47Z,13.1633955808899,1
299,42970.96,1477.01,15.573,6.4,2017-08-23T19:02:24Z,10.3879378773633,1
300,42971,1502.79,20.13,25.1,2017-08-23T20:00:00Z,18.9763611400297,1
301,42971.04,1214.742,11.73,27.55,2017-08-23T20:57:36Z,17.4889362999334,1
302,42971.08,1146.725,11.29,15.11,2017-08-23T21:55:12Z,17.8425805320422,1
303,42971.13,1503.69,23.47,20.15,2017-08-23T23:07:11Z,22.1200790349285,1
304,42971.17,1149.467,14.14,6.85,2017-08-24T00:04:47Z,3.85762652835804,1
305,42971.21,1464.2,25.89,19.82,2017-08-24T01:02:24Z,6.20101377890899,1
306,42971.25,1076.842,14.19,21.5,2017-08-24T02:00:00Z,19.9315644913613,1
307,42971.29,1498.89,27.79,34.4,2017-08-24T02:57:36Z,0.42763805528614,1
308,42971.33,1065.758,24.563,29.22,2017-08-24T03:55:12Z,16.6305319005019,1
309,42971.38,1175.075,19.55,20.32,2017-08-24T05:07:11Z,15.7614047395817,1
310,42971.42,1474.01,15.093,NA,2017-08-24T06:04:47Z,20.6173855908326,1
311,42971.46,1457.65,28.31,36.94,2017-08-24T07:02:24Z,26.3851215528021,1
